Year,February Total Snowfall in Pennsylvania (in),March Total Snowfall in Pennsylvania (in),April Total Snowfall in Pennsylvania (in)
1880,16.3,12.9,0.7
1881,7,0.9,0.1
1882,3,12.7,0.1
1883,0.6,2.7,0
1884,14.2,7.5,4.1
1885,2.4,2.0,5.4
1886,9.1,4.1,0
1887,2.2,1.8,0
1888,5.7,5.2,7.0
1889,2.2,8.9,0
1890,2.3,7.6,2.0
1891,2.4,11.6,0.4
1892,18.3,2.8,0.5
1893,20.5,3.1,0
1894,5,7.6,0.2
1895,6.7,17.0,0.4
1896,3.8,2.2,0.1
1897,3.1,2.4,2.2
1898,14.5,5.2,0.2
1899,9.6,8.5,0.5
1900,5.7,5.8,13.5
1901,3.5,16.7,12.1
1902,7.2,0,0
1903,4.5,0.4,1.3
1904,5.2,2.5,0.7
1905,4.9,20.1,0
1906,7.3,4.6,2.0
1907,13.5,3.0,0.6
1908,0.5,3.9,0.8
1909,16.2,0.7,0
1910,8.6,7.5,5.9
1911,8.3,3.5,2.5
1912,8.6,2.0,0
1913,23.4,8.3,3.5
1914,1.5,5.8,0
1915,11.9,11.0,5.7
1916,3.4,13.1,0.7
1917,2.3,0.5,7.1
1918,1.7,1.5,0.5
1919,6.6,3.1,1.5
1920,5.4,1.4,0.6
1921,3.4,11.0,3.0
1922,12.1,2.4,3.0
1923,11.6,17.8,3.2
1924,2.7,0.5,0
1925,17.2,3.3,0.9
1926,21,0,0
1927,5.4,9.4,4.3
1928,10,3.1,0
1929,1.2,7.3,1.0
1930,4.1,3.9,2.7
1931,1.5,8.2,2.5
1932,5.4,2.7,0
1933,11.2,7.6,0.4
1934,13.3,1.1,1.0
1935,10.7,9.6,1.6
1936,6,8.4,0
1937,3.4,0.8,2.0
1938,8.6,0.4,0.4
1939,22.7,7.9,2.6
1940,8.5,15.3,0.0
1941,9.4,18.3,1.0
1942,5.8,10.6,2.3
1943,8.5,9.8,1.7
1944,3.8,1.3,0
1945,4.7,0.1,0
1946,23.1,4.6,0
1947,9.5,2.5,0
1948,1.5,6.1,1.3
1949,5.4,10.6,0.2
1950,2.7,8.4,5.2
1951,5,11.2,4.7
1952,1.1,6.8,4.9
1953,4.7,6.6,0.1
1954,8.3,3.2,0
1955,3.2,14.5,3.3
1956,4.3,7.3,2.2
1957,7.4,8.7,1.5
1958,2.2,7.6,3.1
1959,21.8,21.3,1.1
1960,22.5,1.4,5.9
1961,8.6,19.1,3.6
1962,20.4,4.5,0.3
1963,13.7,6.1,0.3
1964,10.4,13.3,0.2
1965,6.9,8.5,2.7
1966,21.7,20.0,0.5
1967,6.1,11.0,0
1968,4,3.9,0.0
1969,13,16.1,0.1
1970,20.6,16.8,0.2
1971,24.2,9.8,1.8
1972,6.1,4.6,1.4
1973,2.2,2.3,1.6
1974,13.9,9.8,1.1
1975,3.3,4.3,0.5
1976,6.4,0.9,1.3
1977,5.4,4.0,0.2
1978,13.7,2.0,1.4
1979,6.2,7.9,0
1980,11.9,7.6,0
1981,3.6,12.2,3.8
1982,12,4.3,1.0
1983,11.4,10.4,0
1984,8.1,0.2,7.2
1985,12.4,4.8,2.7
1986,1.1,7.3,8.1
1987,6.9,9.8,0.9
1988,4.1,7.5,0.6
1989,2.5,0.6,3.3
1990,3.6,4.2,0
1991,2.4,10.6,2.8
1992,18.5,34.1,0.5
1993,11,13.6,0.6
1994,9,6.4,0.2
1995,9.6,13.4,1.6
1996,10.2,2.2,0.8
1997,2.5,4.9,0.0
1998,4.7,15.6,0
1999,8.4,1.1,0.3
2000,2.7,8.0,1.1
2001,6.4,4.0,0.1
2002,25.3,4.1,0
2003,4.1,8.6,0.7
2004,14.7,9.8,6.3
2005,9.7,1.4,0.2
2006,14,9.3,0.4
2007,20.7,4.7,0.0
2008,7.1,0.2,1.3
2009,48.7,0.5,0
2010,14.1,5.5,0.8
2011,12.3,6.0,0
2012,16.3,15.2,0
2013,16.1,4.9,0.1
2014,15.4,9.0,0.3
2015,9.5,2.1,3.1
2016,6.7,9.7,0
2017,9.7,12.3,7.3
2018,12.9,5.2,0
2019,8.8,1.0,0.1
2020,16.1,0.1,2.4
2021,5.8,17.1,0.9
2022,0.2,3.1,0
